PLATFORM 0: (unicode)
PLATFORM 1: (macintosh, mac)
PLATFORM 3: (windows, win)
ENCODING (unicode) 0: unicode_1_0
ENCODING (unicode) 1: unicode_1_1
ENCODING (unicode) 2: iso_10646
ENCODING (unicode) 3: unicode_bmp
ENCODING (unicode) 4: unicode_full
ENCODING (macintosh) 0: roman
ENCODING (macintosh) 1: japanese
ENCODING (macintosh) 2: chinese_traditional
ENCODING (macintosh) 3: korean
ENCODING (macintosh) 4: arabic
ENCODING (macintosh) 5: hebrew
ENCODING (macintosh) 6: greek
ENCODING (macintosh) 7: russian
ENCODING (macintosh) 8: rsymbol
ENCODING (macintosh) 9: devanagari
ENCODING (macintosh) 10: gurmukhi
ENCODING (macintosh) 11: gujarati
ENCODING (macintosh) 12: oriya
ENCODING (macintosh) 13: bengali
ENCODING (macintosh) 14: tamil
ENCODING (macintosh) 15: telugu
ENCODING (macintosh) 16: kannada
ENCODING (macintosh) 17: malayalam
ENCODING (macintosh) 18: sinhalese
ENCODING (macintosh) 19: burmese
ENCODING (macintosh) 20: khmer
ENCODING (macintosh) 21: thai
ENCODING (macintosh) 22: laotian
ENCODING (macintosh) 23: georgian
ENCODING (macintosh) 24: armenian
ENCODING (macintosh) 25: chinese_simplified
ENCODING (macintosh) 26: tibetan
ENCODING (macintosh) 27: mongolian
ENCODING (macintosh) 28: geez
ENCODING (macintosh) 29: slavic
ENCODING (macintosh) 30: vietnamese
ENCODING (macintosh) 31: sindhi
ENCODING (macintosh) 32: uninterpreted
ENCODING (windows) 0: symbol
ENCODING (windows) 1: unicode_bmp
ENCODING (windows) 2: shift_jis
ENCODING (windows) 3: gb2312
ENCODING (windows) 4: big5
ENCODING (windows) 5: euc_kr
ENCODING (windows) 6: johab
ENCODING (windows) 10: unicode_full
LANGUAGE (unicode) 0: default
LANGUAGE (macintosh) 0: en
LANGUAGE (macintosh) 1: fr
LANGUAGE (macintosh) 2: de
LANGUAGE (macintosh) 3: it
LANGUAGE (macintosh) 4: nl
LANGUAGE (macintosh) 5: sv
LANGUAGE (macintosh) 6: es
LANGUAGE (macintosh) 7: da
LANGUAGE (macintosh) 8: pt
LANGUAGE (macintosh) 9: no
LANGUAGE (macintosh) 10: he
LANGUAGE (macintosh) 11: ja
LANGUAGE (macintosh) 12: ar
LANGUAGE (macintosh) 13: fi
LANGUAGE (macintosh) 14: el
LANGUAGE (macintosh) 15: is
LANGUAGE (macintosh) 16: mt
LANGUAGE (macintosh) 17: tr
LANGUAGE (macintosh) 18: hr
LANGUAGE (macintosh) 19: zh-hant
LANGUAGE (macintosh) 20: ur
LANGUAGE (macintosh) 21: hi
LANGUAGE (macintosh) 22: th
LANGUAGE (macintosh) 23: ko
LANGUAGE (macintosh) 24: lt
LANGUAGE (macintosh) 25: pl
LANGUAGE (macintosh) 26: hu
LANGUAGE (macintosh) 27: es
LANGUAGE (macintosh) 28: lv
LANGUAGE (macintosh) 29: se
LANGUAGE (macintosh) 30: fo
LANGUAGE (macintosh) 31: fa
LANGUAGE (macintosh) 32: ru
LANGUAGE (macintosh) 33: zh
